FILE;LOC;COM;BLK;NOF;NOC;APF;AMC;NER;NEH;CYC;MAD;BUG
./scikit-learn/setup.py;559;47;70;9;2;0.89;3.0;3;2;48;13;1
./scikit-learn/maint_tools/check_pxd_in_installation.py;50;6;10;0;0;0.0;0.0;0;0;6;9;1
./scikit-learn/maint_tools/update_tracking_issue.py;135;12;28;3;0;0.33;0.0;0;0;21;10;1
./scikit-learn/maint_tools/sort_whats_new.py;34;4;9;1;0;1.0;0.0;0;0;8;9;0
./scikit-learn/benchmarks/bench_plot_omp_lars.py;102;10;18;1;0;2.0;0.0;0;0;5;9;1
./scikit-learn/benchmarks/bench_plot_neighbors.py;153;6;38;2;0;5.5;0.0;1;0;15;12;1
./scikit-learn/benchmarks/bench_plot_parallel_pairwise.py;33;2;14;3;0;1.67;0.0;0;0;2;9;1
./scikit-learn/benchmarks/bench_plot_incremental_pca.py;129;3;30;8;0;2.88;0.0;0;0;5;10;1
./scikit-learn/benchmarks/bench_covertype.py;202;9;33;1;0;3.0;0.0;0;0;5;12;1
./scikit-learn/benchmarks/bench_hist_gradient_boosting_categorical_only.py;65;3;14;2;0;3.0;0.0;0;0;3;8;1
./scikit-learn/benchmarks/bench_text_vectorizers.py;52;0;22;2;0;1.0;0.0;0;0;2;9;1
./scikit-learn/benchmarks/bench_random_projections.py;255;26;49;6;0;2.17;0.0;0;0;11;13;1
./scikit-learn/benchmarks/bench_isotonic.py;87;2;24;4;0;1.0;0.0;0;0;5;10;1
./scikit-learn/benchmarks/bench_hist_gradient_boosting.py;258;1;34;2;0;0.5;0.0;0;0;20;9;1
./scikit-learn/benchmarks/bench_plot_fastkmeans.py;115;2;26;2;0;1.5;0.0;0;0;9;12;1
./scikit-learn/benchmarks/bench_isolation_forest.py;137;11;27;1;0;1.0;0.0;0;0;10;9;1
./scikit-learn/benchmarks/bench_plot_ward.py;40;0;8;0;0;0.0;0.0;0;0;3;8;1
./scikit-learn/benchmarks/bench_pca_solvers.py;151;21;14;1;0;4.0;0.0;0;0;23;12;1
./scikit-learn/benchmarks/bench_sparsify.py;81;5;26;4;0;1.0;0.0;0;0;3;8;1
./scikit-learn/benchmarks/bench_plot_nmf.py;399;34;75;15;1;4.53;6.0;3;0;45;12;1
./scikit-learn/benchmarks/bench_glm.py;40;0;17;0;0;0.0;0.0;0;0;3;10;1
./scikit-learn/benchmarks/bench_lof.py;94;8;19;0;0;0.0;0.0;0;0;10;9;1
./scikit-learn/benchmarks/bench_tsne_mnist.py;176;5;32;5;0;2.2;0.0;2;2;13;11;1
./scikit-learn/benchmarks/bench_hist_gradient_boosting_threading.py;298;2;49;2;0;1.0;0.0;0;0;29;9;1
./scikit-learn/benchmarks/bench_kernel_pca_solvers_time_vs_n_samples.py;153;25;30;0;0;0.0;0.0;0;0;7;11;1
./scikit-learn/benchmarks/bench_mnist.py;201;9;29;1;0;2.0;0.0;0;0;5;11;1
