,FILE,LOC,COM,BLK,NOF,NOC,APF,AMC,NER,NEH,CYC,MAD,BUG
1,./scikit-learn/maint_tools/check_pxd_in_installation.py,50,6,10,0,0,0.0,0.0,0,0,6,9,1
2,./scikit-learn/maint_tools/update_tracking_issue.py,135,12,28,3,0,0.33,0.0,0,0,21,10,1
3,./scikit-learn/maint_tools/sort_whats_new.py,34,4,9,1,0,1.0,0.0,0,0,8,9,0
4,./scikit-learn/benchmarks/bench_plot_omp_lars.py,102,10,18,1,0,2.0,0.0,0,0,5,9,1
6,./scikit-learn/benchmarks/bench_plot_parallel_pairwise.py,33,2,14,3,0,1.67,0.0,0,0,2,9,1
7,./scikit-learn/benchmarks/bench_plot_incremental_pca.py,129,3,30,8,0,2.88,0.0,0,0,5,10,1
8,./scikit-learn/benchmarks/bench_covertype.py,202,9,33,1,0,3.0,0.0,0,0,5,12,1
9,./scikit-learn/benchmarks/bench_hist_gradient_boosting_categorical_only.py,65,3,14,2,0,3.0,0.0,0,0,3,8,1
10,./scikit-learn/benchmarks/bench_text_vectorizers.py,52,0,22,2,0,1.0,0.0,0,0,2,9,1
11,./scikit-learn/benchmarks/bench_random_projections.py,255,26,49,6,0,2.17,0.0,0,0,11,13,1
12,./scikit-learn/benchmarks/bench_isotonic.py,87,2,24,4,0,1.0,0.0,0,0,5,10,1
13,./scikit-learn/benchmarks/bench_hist_gradient_boosting.py,258,1,34,2,0,0.5,0.0,0,0,20,9,1
14,./scikit-learn/benchmarks/bench_plot_fastkmeans.py,115,2,26,2,0,1.5,0.0,0,0,9,12,1
15,./scikit-learn/benchmarks/bench_isolation_forest.py,137,11,27,1,0,1.0,0.0,0,0,10,9,1
16,./scikit-learn/benchmarks/bench_plot_ward.py,40,0,8,0,0,0.0,0.0,0,0,3,8,1
18,./scikit-learn/benchmarks/bench_sparsify.py,81,5,26,4,0,1.0,0.0,0,0,3,8,1
20,./scikit-learn/benchmarks/bench_glm.py,40,0,17,0,0,0.0,0.0,0,0,3,10,1
21,./scikit-learn/benchmarks/bench_lof.py,94,8,19,0,0,0.0,0.0,0,0,10,9,1
24,./scikit-learn/benchmarks/bench_kernel_pca_solvers_time_vs_n_samples.py,153,25,30,0,0,0.0,0.0,0,0,7,11,1
25,./scikit-learn/benchmarks/bench_mnist.py,201,9,29,1,0,2.0,0.0,0,0,5,11,1
